EcoServ,Response,EF,ES,no selection,Proxy for ES,Key.word,Notes,response_finer,rf2
PestPath,Feces removal rate,0,0,0,1,Pathogens/natural enemies,,pathogens/natural enemies,pathogens/natural enemies
Food,fiber,0,1,0,0,Exploitation/harvest,maybe,exploitation/harvest,exploitation/harvest
Food,Field derived production,0,1,0,1,Exploitation/harvest,maybe Productivity,exploitation/harvest,exploitation/harvest
ClimReg,fine veg area x avg.  sequestration rate,0,1,0,0,,,,TEST_VALUE
AQReg,fine veg area x pollution removal rate,0,1,0,0,Pollution/water quality/air quality,,pollution/water quality/air quality,pollution/water quality/air quality
MaintainOpts,fire regeneration after fire,0,0,1,0,Characteristics of the landscape,both abiotic and biotic,characteristics of the landscape,characteristics of the landscape
Materials,firewood use,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
CulturePsych,fish,0,1,0,0,,"could be Recreation/tourism, Exploitation/harvest, or ESP",,TEST_VALUE
MaintainOpts,fish abundances,1,0,0,0,Service provider abundance,,service provider abundance,service provider abundance
Food,fish aquaculture,0,1,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
HabCreate,fish capacity,0,1,0,0,,no idea,,TEST_VALUE
Food,Fish community diversity,0,1,0,0,Service provider diversity/richness/composition,,service provider species biodiversity,service provider species biodiversity
HabCreate,fish community index (FCI),1,0,0,0,Service provider diversity/richness/composition,,service provider species biodiversity,index
MaintainOpts,Fish Community Index (FCI),1,0,0,0,Service provider diversity/richness/composition,,service provider species biodiversity,index
Food,Fish community structure,1,0,0,0,Service provider diversity/richness/composition,,service provider species biodiversity,service provider species biodiversity
HabCreate,fish density,1,0,0,0,Service provider abundance,,service provider abundance,service provider abundance
CulturePsych,fish density (adults per ha),0,0,0,1,Service provider abundance,,service provider abundance,service provider abundance
